rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
389,New Kid,,2019,COMIC,9.78006E+12,"Children's, Drama, Humorous",Harper Collins Publishers,Jerry Craft,E,FALSE,1,1.14,TRUE
390,Eleanor Oliphant is Completely Fine by Gail Honeyman (Book Analysis),,2019,EBOOK,9.78281E+12,"Book Notes, Literary Collections, Literary Criticism, Study Aids, Study Guides",BrightSummaries.com,Various Authors,,FALSE,1,0.34,FALSE
391,Doom Patrol: The Silver Age Vol. 2,,2020,COMIC,9.78178E+12,"Media Tie-In, Superhero, Teen",DC Comics,Arnold Drake,T,FALSE,1,3.99,FALSE
392,This Is How I Lied,,2020,AUDIOBOOK,9.78149E+12,Fiction,Harlequin Audio,Heather Gudenkauf,,FALSE,1,3.99,FALSE
393,Brick Mansions,,2014,MOVIE,,"Action & Adventure, Crime",Relativity,Paul Walker,PG13,FALSE,1,2.99,FALSE
394,Safe Haven,,2013,MOVIE,,"Drama, Romance",Relativity,Julianne Hough,PG13,FALSE,1,2.99,FALSE
395,The November Man,,2014,MOVIE,,"Action & Adventure, Crime",Relativity,Pierce Brosnan,R,FALSE,1,2.99,FALSE
396,Enemy Lines,,2020,MOVIE,,"Action & Adventure, War",Good Deed Entertainment,Ed Westwick,NRA,FALSE,1,1.99,FALSE
397,This is Crazy,,2020,AUDIOBOOK,9.78166E+12,Romance,"Dreamscape Media, LLC",Natasha Madison,,FALSE,1,2.99,FALSE
398,Hutsulka Ksenya,,2020,MOVIE,,Romance,"Dreamscape Media, LLC",Varvara Lushchik,NRT,FALSE,1,1.99,FALSE
399,Alpha Next Door,,2019,EBOOK,9.78139E+12,"Fiction, Paranormal - Shifters, Romance",Odelyn Publishing,Lynne Sterley,,FALSE,1,1.29,FALSE
400,Anathem,,2009,EBOOK,9.78006E+12,"Apocalyptic & Post-apocalyptic, Fantasy, Fiction, Historical, Science Fiction",HarperCollins,Neal Stephenson,,FALSE,1,1.79,FALSE
401,Immortal Hulk Vol. 5: Breaker of Worlds,,2020,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Al Ewing,T,FALSE,1,0.94,FALSE
402,Tidy the F*ck Up: The American Art of Organizing Your Sh*t,,2020,AUDIOBOOK,9.78169E+12,"Comedy, Self Help","Dreamscape Media, LLC",Messie Condo,,FALSE,1,2.99,FALSE
403,A Slice of Heaven,,2020,AUDIOBOOK,9.78166E+12,Romance,"Dreamscape Media, LLC",Sherryl Woods,,FALSE,1,2.99,FALSE
404,Dying for Motherhood,,2020,MOVIE,,"Drama, Suspense / Thriller",Lifetime,Emmanuelle Vaugier,NRA,FALSE,1,1.99,FALSE
405,The Clark Sisters,,2020,MOVIE,,"Drama, Suspense / Thriller",Lifetime,Aunjanue Ellis,NRC,FALSE,1,0.99,FALSE
406,Silence on Cold River,,2020,EBOOK,9.78164E+12,"Fiction, Mystery & Detective, Thrillers",Pegasus Books,Casey Dunn,,FALSE,1,0.85,FALSE
407,A Fatal Winter,,2012,AUDIOBOOK,9.78161E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
408,Journey's Edge,,2020,AUDIOBOOK,9.78109E+12,"Action & Adventure, Sci-Fi & Fantasy",Findaway Voices,Eric Warren,,FALSE,1,1.69,FALSE
409,Personal Memoirs of Ulysses S. Grant,,2011,AUDIOBOOK,9.78198E+12,History,Blackstone Publishing,Ulysses S. Grant,,FALSE,1,2.99,FALSE
410,The Stabbing in the Stables,,2009,AUDIOBOOK,9.78198E+12,Mystery,Blackstone Publishing,Simon Brett,,FALSE,1,1.99,FALSE
411,The Pigeon Finds A Hot Dog!,,2010,AUDIOBOOK,9.78055E+12,Children's,Weston Woods,Mo Willems,,FALSE,1,0.49,TRUE
412,If I Am Missing or Dead,,2007,AUDIOBOOK,9.7814E+12,Biography,Tantor Audio,Janine Latus,,FALSE,1,1.84,FALSE
413,"More Of Other Worlds, Other Sounds",,2005,MUSIC,,World,Rhino/Warner Records,Juan Garcia Esquivel,,FALSE,1,1.49,FALSE
414,Disney's Greatest Vol. 3,,2010,MUSIC,,Children's,Walt Disney Records,Various Artists,,FALSE,1,1.49,TRUE
415,Churchill's Empire,,2010,AUDIOBOOK,9.7814E+12,Biography,Tantor Audio,Richard Toye,,FALSE,1,2.64,FALSE
416,The Message Bible,,2003,AUDIOBOOK,9.78161E+12,Religious,Oasis Audio,Eugene H. Peterson,,FALSE,1,2.99,FALSE
417,The Sacred Romance,,2004,AUDIOBOOK,9.78161E+12,Religious,Oasis Audio,John Eldredge,,FALSE,1,1.69,FALSE
418,Brazil,,1985,MOVIE,,"Classics, Comedy, Cult Classic, Dark Comedy, Sci-Fi & Fantasy",Universal Pictures,Jonathan Pryce,R,FALSE,1,2.99,FALSE
419,Pagan Spring,,2013,AUDIOBOOK,9.78162E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
420,One Last Dance,,2003,MOVIE,,Romance,Screen Media Ventures,Patrick Swayze,PG13,FALSE,1,1.49,FALSE
421,Centurion,,2010,MOVIE,,"Action & Adventure, Drama, Supernatural, Survival",Magnolia Pictures,Michael Fassbender,R,FALSE,1,2.39,FALSE
422,Dream On,,2014,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Sarah Mlynowski,,FALSE,1,1.29,TRUE
423,If The Shoe Fits,,2014,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Sarah Mlynowski,,FALSE,1,1.29,TRUE
424,Annabelle,,2014,AUDIOBOOK,9.78198E+12,Fiction,Blackstone Publishing,M. C. Beaton,,FALSE,1,1.99,FALSE
425,Classic American Poetry,,2000,AUDIOBOOK,9.78963E+12,Poetry,Naxos,Emily Dickinson,,FALSE,1,0.99,FALSE
426,Kitty,,2014,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,M. C. Beaton,,FALSE,1,1.99,FALSE
427,Famous People in History # Volume 2,,2000,AUDIOBOOK,9.78963E+12,Children's,Naxos,Nicolas Soames,,FALSE,1,0.99,TRUE
